"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C7","3","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"2","C3","1","330p","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
"3","C4, C5, C6","3","0.1u","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
"4","C8","1","10u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"5","D1","1","ON","LED_THT:LED_D3.0mm",""
"6","D2","1","4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"7","D3","1","UF2010","Diode_THT:D_DO-15_P12.70mm_Horizontal",""
"8","J1","1","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal",""
"9","J2, J7, J8, J9, J10, J11","6","Conn_01x02_Pin","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"10","J3, J12","2","Screw_Terminal_01x02","mylib:TerminalBlock_TB111-2-2_P5.08mm",""
"11","J4, J5","2","Conn_01x03_Pin","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"12","J6","1","Screw_Terminal_01x03","mylib:TerminalBlock_TB111-2-3_P5.08mm",""
"13","L1","1","220u","mylib:RCH-110",""
"14","Q1","1","2SA1015","Package_TO_SOT_THT:TO-92_Inline",""
"15","Q2","1","TK10A60D","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
"16","R1","1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"17","R2","1","0.2","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"18","R3, R4","2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"19","R5","1","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"20","R6","1","470k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"21","R7","1","3.3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"22","RV1","1","100k","mylib:Potentiometer_GF063P",""
"23","SW1","1","SW_SPDT","mylib:Switch_Toggle_2MS1-T1-B4-M2-Q-E",""
"24","U1","1","NJM7805","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
"25","U2","1","NJM2360AD","Package_DIP:DIP-8_W7.62mm_Socket",""
